work_id,line_number,original_title
47456781,1,
42796272,2,The Wishing Well
45105691,3,Steel Scars
44676143,4,Queen Song
324434,5,A Circle of Ashes #2 (Balefire)
42675887,6,
13430971,7,
13457452,8,
13475472,9,Down on the Farm
21581860,10,Crown of Midnight
42462229,11,
17421825,12,
14240586,13,Heaven
25037051,14,Red Queen
51186078,15,
40164691,16,
41247953,17,
40320042,18,
26899944,19,
27054686,20,
27128923,21,
25691778,22,The Assassin's Blade
25880898,23,The Assassin and the Healer
14726877,24,
10632918,25,
7153591,26,
6623159,27,Pack Alpha
25128502,28,Heir of Fire
324443,29,A Feather of Stone #3 (Balefire)
324435,30,A Chalice of Wind #1 (Balefire)
26041989,31,Sinner
14836619,32,A Temptation of Angels
18122113,33,
13232547,34,
17321640,35,"Hot Vampire Kiss (Vampire Wardens, #1)"
18300030,36,
17620063,37,"Hot Vampire Seduction (Vampire Wardens, #2)"
21447130,38,
19255073,39,
18076308,40,
18589544,41,
18589511,42,
18589531,43,
16971236,44,
23684944,45,
23639375,46,
16971099,47,
16971160,48,
16971323,49,
16971130,50,
16971218,51,
24659192,52,The Ink Readers of Doi Saket
25095679,53,Burning Girls
24881632,54,The Too-Clever Fox
20466445,55,
18135552,56,Darkness Before Dawn
19155469,57,
18122092,58,
18241390,59,
15268747,60,Ponies
25276206,61,
21990576,62,Autumn Storm
21976547,63,
21438949,64,Dark Summer
21493956,65,
23809096,66,
21498098,67,
19240558,68,Whispers in Autumn
19059878,69,With All My Soul
24034803,70,Fracture Me
15758144,71,
19019226,72,Taste
4117634,73,Need
21913655,74,
17831603,75,
14612013,76,Until I Die
17421831,77,Horizon
17421829,78,
13536519,79,Fated
19249176,80,
15917048,81,
21408857,82,A Day in the Afterlife of Tod
15162169,83,The Space Between
22431444,84,Deception
7790670,85,A Beautiful Dark
24034574,86,
14808326,87,Endure
6793984,88,Captivate
12769820,89,Entice
17393387,90,Paper Valentine
23676037,91,
19929609,92,
21378307,93,
21457699,94,
21414439,95,
21744956,96,
21980002,97,
22208235,98,
23666464,99,
23666498,100,
23666518,101,
22385041,102,
18214662,103,Boundless
22008835,104,
21599375,105,
14532305,106,Hallowed
19154849,107,Ceaseless
20270507,108,
18530561,109,Predestined
17258588,110,
15775406,111,
19231983,112,Evertrue
18289996,113,Everbound
21403384,114,Neverfall
14297146,115,Everneath
18276967,116,"Unravel Me (Shatter Me, #2)"
40181098,117,"Ignite Me (Shatter Me, #3)"
19226840,118,Destroy Me
19070083,119,
13306097,120,Hades
14627662,121,Angels' Flight
23536557,122,
6460567,123,
17458199,124,
18507716,125,
6848948,126,Linger
21865609,127,Six Earlier Days
6961290,128,Forever
6842559,129,Shade
17289417,130,My Soul to Save
6500841,131,My Soul to Take
6776907,132,My Soul to Lose
13352685,133,My Soul to Steal
6847345,134,My Soul to Keep
14568321,135,Reaper
16351591,136,Before I Wake
13678080,137,"If I Die (Soul Screamers, #5)"
16510139,138,"Soul Screamers, Vol. 1: My Soul to Lose*My Soul to Take*My Soul to Save"
18018609,139,
10280032,140,Die for Me
14223288,141,Bargains and Betrayals
8079593,142,13 to Life
13533872,143,Secrets and Shadows
14765145,144,Beasts and BFFs
10695325,145,Halo
9621771,146,Unearthly
17892468,147,Finale
14158688,148,Silence
6867038,149,Crescendo
6525609,150,"Hush, Hush"
6596168,151,Abraham Lincoln: Vampire Hunter
15333458,152,Shatter Me
6244926,153,Shiver
17961862,154,"A Fractured Light (A Beautiful Dark, #2)"
16343248,155,Defiance
13356589,156,Every Other Day
19143595,157,The Assassin and the Empire
19111271,158,The Assassin and the Underworld
18814070,159,The Assassin and the Desert
18721148,160,The Assassin and the Pirate Lord
14103064,161,Rapture
